workload,i,file,size,read_time,size_with_metadata,run
classic,,orc,183467312.0,0.416188,,5.0
classic,,btrblocks,206552302.0,527901.0,206552470.0,5.0
log,,parquet,23909928.0,0.168666,,5.0
log,,orc,17129111.0,0.239299,,5.0
log,,btrblocks,32351464.0,60244.0,32351632.0,5.0
ml,,parquet,85059568.0,0.240035,,5.0
ml,,orc,83054749.0,0.372871,,5.0
ml,,btrblocks,108739216.0,162191.0,108739384.0,5.0
bi,,parquet,31206759.0,0.191994,,5.0
bi,,orc,28144655.0,0.331262,,5.0
bi,,btrblocks,28431875.0,33482.0,28432043.0,5.0
core,,parquet,37413239.0,0.187885,,6.0
core,,orc,38468540.0,0.375478,,6.0
core,,btrblocks,44402318.0,49807.0,44402486.0,6.0
geo,,parquet,116094986.0,0.270679,,6.0
geo,,orc,108626537.0,0.362748,,6.0
geo,,btrblocks,134591161.0,326247.0,134591329.0,6.0
classic,,parquet,198249209.0,0.365438,,6.0
classic,,orc,183467312.0,0.418479,,6.0
classic,,btrblocks,206557266.0,529393.0,206557434.0,6.0
log,,parquet,23909928.0,0.169336,,6.0
log,,orc,17129111.0,0.246985,,6.0
log,,btrblocks,32526078.0,64012.0,32526246.0,6.0
ml,,parquet,85059568.0,0.243718,,6.0
ml,,orc,83054749.0,0.357462,,6.0
ml,,btrblocks,108735904.0,157278.0,108736072.0,6.0
bi,,parquet,31206759.0,0.190549,,6.0
bi,,orc,28144655.0,0.341345,,6.0
bi,,btrblocks,28450015.0,36282.0,28450183.0,6.0
core,,parquet,37413239.0,0.191668,,7.0
core,,orc,38468540.0,0.364863,,7.0
core,,btrblocks,44792150.0,51036.0,44792318.0,7.0
geo,,parquet,116094986.0,0.271076,,7.0
geo,,orc,108626537.0,0.369033,,7.0
geo,,btrblocks,134602958.0,329298.0,134603126.0,7.0
classic,,parquet,198249209.0,0.363075,,7.0
classic,,orc,183467312.0,0.408467,,7.0
classic,,btrblocks,206561165.0,529966.0,206561333.0,7.0
log,,parquet,23909928.0,0.172178,,7.0
log,,orc,17129111.0,0.249491,,7.0
log,,btrblocks,32355873.0,61200.0,32356041.0,7.0
ml,,parquet,85059568.0,0.242312,,7.0
ml,,orc,83054749.0,0.362608,,7.0
ml,,btrblocks,108741920.0,162756.0,108742088.0,7.0
bi,,parquet,31206759.0,0.191694,,7.0
bi,,orc,28144655.0,0.334851,,7.0
bi,,btrblocks,28586285.0,35707.0,28586453.0,7.0
core,,parquet,37413239.0,0.192973,,8.0
core,,orc,38468540.0,0.367435,,8.0
core,,btrblocks,45089183.0,50457.0,45089351.0,8.0
geo,,parquet,116094986.0,0.255945,,8.0
geo,,orc,108626537.0,0.362565,,8.0
geo,,btrblocks,134598546.0,330938.0,134598714.0,8.0
classic,,parquet,198249209.0,0.376909,,8.0
classic,,orc,183467312.0,0.41379,,8.0
classic,,btrblocks,206562137.0,527005.0,206562305.0,8.0
log,,parquet,23909928.0,0.16894,,8.0
log,,orc,17129111.0,0.244706,,8.0
log,,btrblocks,32391937.0,60050.0,32392105.0,8.0
ml,,parquet,85059568.0,0.245146,,8.0
ml,,orc,83054749.0,0.369936,,8.0
ml,,btrblocks,108738944.0,163662.0,108739112.0,8.0
bi,,parquet,31206759.0,0.196528,,8.0
bi,,orc,28144655.0,0.338103,,8.0
bi,,btrblocks,28487183.0,36358.0,28487351.0,8.0
core,,parquet,37413239.0,0.195942,,9.0
core,,orc,38468540.0,0.367519,,9.0
core,,btrblocks,45122455.0,48125.0,45122623.0,9.0
geo,,parquet,116094986.0,0.272375,,9.0
geo,,orc,108626537.0,0.375897,,9.0
geo,,btrblocks,134603398.0,326173.0,134603566.0,9.0
classic,,parquet,198249209.0,0.3656,,9.0
classic,,orc,183467312.0,0.416714,,9.0
classic,,btrblocks,206568989.0,528120.0,206569157.0,9.0
log,,parquet,23909928.0,0.169816,,9.0
log,,orc,17129111.0,0.250361,,9.0
log,,btrblocks,32400924.0,62701.0,32401092.0,9.0
ml,,parquet,85059568.0,0.245732,,9.0
ml,,orc,83054749.0,0.363532,,9.0
ml,,btrblocks,108737616.0,157689.0,108737784.0,9.0
bi,,parquet,31206759.0,0.190401,,9.0
bi,,orc,28144655.0,0.338224,,9.0
bi,,btrblocks,28498500.0,34579.0,28498668.0,9.0
core,,parquet,37413239.0,0.191344,,10.0
core,,orc,38468540.0,0.368315,,10.0
core,,btrblocks,45128723.0,46924.0,45128891.0,10.0
geo,,parquet,116094986.0,0.27214,,10.0
geo,,orc,108626537.0,0.370015,,10.0
geo,,btrblocks,134605603.0,326605.0,134605771.0,10.0
classic,,parquet,198249209.0,0.368664,,10.0
classic,,orc,183467312.0,0.420955,,10.0
classic,,btrblocks,206557733.0,527892.0,206557901.0,10.0
log,,parquet,23909928.0,0.170275,,10.0
log,,orc,17129111.0,0.245531,,10.0
log,,btrblocks,32349394.0,62144.0,32349562.0,10.0
